,TestSponsor,SystemName,AutoParallel,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
1495,Dell Inc.,"PowerEdge R810 (Intel Xeon X6550, 2.00 GHz)",Yes,16,2,8,2,30.7,33.1
1496,Dell Inc.,"PowerEdge R810 (Intel Xeon X7542, 2.67 GHz)",Yes,12,2,6,1,33.8,36.1
1497,Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,41.3,44.2
1498,Dell Inc.,"PowerEdge R710 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,22.8,24.4
1499,Dell Inc.,"PowerEdge T610 (Intel Xeon E5620, 2.40 GHz)",Yes,8,2,4,2,34.3,37.0
1500,Dell Inc.,"PowerEdge R610 (Intel Xeon E5620, 2.40 GHz)",Yes,8,2,4,2,34.3,37.1
1501,Dell Inc.,"PowerEdge R710 (Intel Xeon E5620, 2.40 GHz)",Yes,8,2,4,2,34.3,37.1
1502,Dell Inc.,"PowerEdge R610 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,40.1,43.0
1503,Dell Inc.,"PowerEdge R610 (Intel Xeon X5550, 2.67 GHz)",Yes,8,2,4,2,38.9,41.7
1504,Dell Inc.,"PowerEdge M710 (Intel Xeon L5609, 1.86 GHz)",Yes,8,2,4,1,25.8,27.5
1505,Dell Inc.,"PowerEdge M710 (Intel Xeon E5507, 2.26 GHz)",Yes,8,2,4,1,27.3,29.3
1506,Dell Inc.,"PowerEdge M710 (Intel Xeon E5503, 2.00 GHz)",Yes,4,2,2,1,23.8,25.6
1507,Dell Inc.,"PowerEdge R710 (Intel Xeon X5680, 3.33 GHz)",Yes,12,2,6,2,45.0,48.4
1508,Dell Inc.,"PowerEdge T610 (Intel Xeon X5680, 3.33 GHz)",Yes,12,2,6,2,44.4,47.9
1509,Dell Inc.,"PowerEdge T610 (Intel Xeon X5677, 3.46 GHz)",Yes,8,2,4,2,45.6,49.2
1510,Dell Inc.,"PowerEdge T610 (Intel Xeon X5670, 2.93 GHz)",Yes,12,2,6,2,42.5,45.8
1511,Dell Inc.,"PowerEdge T610 (Intel Xeon X5667, 3.06 GHz)",Yes,8,2,4,2,43.4,46.8
1512,Dell Inc.,"PowerEdge T610 (Intel Xeon X5660, 2.80 GHz)",Yes,12,2,6,2,41.3,44.6
1513,Dell Inc.,"PowerEdge T610 (Intel Xeon X5650, 2.66 GHz)",Yes,12,2,6,2,40.1,43.2
1514,Dell Inc.,"PowerEdge T610 (Intel Xeon E5507, 2.26 GHz)",Yes,8,2,4,1,27.1,29.3
1515,Dell Inc.,"PowerEdge R710 (Intel Xeon X5677, 3.46 GHz)",Yes,8,2,4,2,45.8,49.3
1516,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 3.33 GHz)",Yes,12,2,6,2,42.5,45.8
1517,Dell Inc.,"PowerEdge R710 (Intel Xeon X5667, 3.06 GHz)",Yes,8,2,4,2,43.4,46.8
1518,Dell Inc.,"PowerEdge R710 (Intel Xeon L5630, 2.13 GHz)",Yes,8,2,4,2,30.7,33.1
1519,Dell Inc.,"PowerEdge R710 (Intel Xeon L5609, 1.86 GHz)",Yes,8,2,4,1,25.9,27.6
1520,Dell Inc.,"PowerEdge R610 (Intel Xeon X5680, 3.33 GHz)",Yes,12,2,6,2,44.8,48.3
1521,Dell Inc.,"PowerEdge R610 (Intel Xeon X5677, 3.46 GHz)",Yes,8,2,4,2,45.7,49.3
1522,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",Yes,12,2,6,2,42.5,45.8
1523,Dell Inc.,"PowerEdge R610 (Intel Xeon E5503, 2.00 GHz)",Yes,4,2,2,1,23.7,25.5
1524,Dell Inc.,"PowerEdge R610 (Intel Xeon E5630, 2.53 GHz)",Yes,8,2,4,2,35.6,38.2
1525,Dell Inc.,"PowerEdge T610 (Intel Xeon L5630, 2.13 GHz)",Yes,8,2,4,2,30.7,33.0
1526,Dell Inc.,"PowerEdge T610 (Intel Xeon E5640, 2.66 GHz)",Yes,8,2,4,2,36.7,39.6
1527,Dell Inc.,"PowerEdge T610 (Intel Xeon E5630, 2.53 GHz)",Yes,8,2,4,2,35.5,38.3
1528,Dell Inc.,"PowerEdge R710 (Intel Xeon X5660, 2.80 GHz)",Yes,12,2,6,2,41.4,44.5
1529,Dell Inc.,"PowerEdge R710 (Intel Xeon X5650, 2.66 GHz)",Yes,12,2,6,2,39.9,43.0
1530,Dell Inc.,"PowerEdge R710 (Intel Xeon E5640, 2.66 GHz)",Yes,8,2,4,2,36.7,39.6
1531,Dell Inc.,"PowerEdge R610 (Intel Xeon X5667, 3.06 GHz)",Yes,8,2,4,2,43.4,46.8
1532,Dell Inc.,"PowerEdge R610 (Intel Xeon X5660, 2.80 GHz)",Yes,12,2,6,2,37.4,40.5
1533,Dell Inc.,"PowerEdge M710 (Intel Xeon L5640, 2.26 GHz)",Yes,12,2,6,2,36.3,39.2
1534,Dell Inc.,"PowerEdge M710 (Intel Xeon L5630, 2.13 GHz)",Yes,8,2,4,2,30.6,32.9
1535,Dell Inc.,"PowerEdge M710 (Intel Xeon E5620, 2.40 GHz)",Yes,8,2,4,2,34.3,37.1
1536,Dell Inc.,"PowerEdge R610 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,34.6,37.1
1537,Dell Inc.,"PowerEdge R610 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,33.7,35.9
1538,Dell Inc.,"PowerEdge R610 (Intel Xeon E5520, 2.27 GHz)",Yes,8,2,4,2,32.4,34.7
1539,Dell Inc.,"PowerEdge R610 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,26.4,28.1
1540,Dell Inc.,"PowerEdge R610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,22.6,24.2
1541,Dell Inc.,"PowerEdge R610 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,24.9,26.7
1542,Dell Inc.,"PowerEdge R910 (Intel Xeon E7520, 1.87 GHz)",Yes,16,4,4,2,28.5,29.8
1543,Dell Inc.,"PowerEdge R910 (Intel Xeon E7530, 1.87 GHz)",Yes,24,4,6,2,30.7,32.8
1544,Dell Inc.,"PowerEdge R910 (Intel Xeon L7545, 1.87 GHz)",Yes,24,4,6,2,34.5,37.2
1545,Dell Inc.,"PowerEdge R910 (Intel Xeon L7555, 1.87 GHz)",Yes,32,4,8,2,35.0,37.9
